"CHROM"	"BEG"	"END"
"Scate-un161"	"1500813474"	"1500893359"
"Scate-un162"	"1500893360"	"1500973069"
"Scate-un163"	"1500973070"	"1501052095"
"Scate-un164"	"1501052096"	"1501130490"
"Scate-un165"	"1501130491"	"1501208792"
"Scate-un166"	"1501208793"	"1501286661"
"Scate-un167"	"1501286662"	"1501363985"
"Scate-un168"	"1501363986"	"1501441297"
"Scate-un169"	"1501441298"	"1501518581"
"Scate-un170"	"1501518582"	"1501595337"
"Scate-un171"	"1501595338"	"1501670965"
"Scate-un172"	"1501670966"	"1501746481"
"Scate-un173"	"1501746482"	"1501821727"
"Scate-un174"	"1501821728"	"1501896826"
"Scate-un175"	"1501896827"	"1501971109"
"Scate-un176"	"1501971110"	"1502044978"
"Scate-un177"	"1502044979"	"1502118704"
"Scate-un178"	"1502118705"	"1502192169"
"Scate-un179"	"1502192170"	"1502265626"
"Scate-un180"	"1502265627"	"1502338724"
"Scate-un181"	"1502338725"	"1502411435"
"Scate-un182"	"1502411436"	"1502483412"
"Scate-un183"	"1502483413"	"1502555205"
"Scate-un184"	"1502555206"	"1502626925"
"Scate-un185"	"1502626926"	"1502698496"
"Scate-un186"	"1502698497"	"1502769748"
"Scate-un187"	"1502769749"	"1502840177"
"Scate-un188"	"1502840178"	"1502909834"
"Scate-un189"	"1502909835"	"1502979435"
"Scate-un190"	"1502979436"	"1503048804"
"Scate-un191"	"1503048805"	"1503118083"
"Scate-un192"	"1503118084"	"1503186237"
"Scate-un193"	"1503186238"	"1503253564"
"Scate-un194"	"1503253565"	"1503320301"
"Scate-un195"	"1503320302"	"1503386941"
"Scate-un196"	"1503386942"	"1503452507"
"Scate-un197"	"1503452508"	"1503517650"
"Scate-un198"	"1503517651"	"1503582160"
"Scate-un199"	"1503582161"	"1503646228"
"Scate-un200"	"1503646229"	"1503709803"
"Scate-un201"	"1503709804"	"1503771139"
"Scate-un202"	"1503771140"	"1503832308"
"Scate-un203"	"1503832309"	"1503893329"
"Scate-un204"	"1503893330"	"1503953696"
"Scate-un205"	"1503953697"	"1504014054"
"Scate-un206"	"1504014055"	"1504074067"
"Scate-un207"	"1504074068"	"1504133362"
"Scate-un208"	"1504133363"	"1504192445"
"Scate-un209"	"1504192446"	"1504251497"
"Scate-un210"	"1504251498"	"1504310453"
"Scate-un211"	"1504310454"	"1504369250"
"Scate-un212"	"1504369251"	"1504427782"
"Scate-un213"	"1504427783"	"1504486083"
"Scate-un214"	"1504486084"	"1504544110"
"Scate-un215"	"1504544111"	"1504601712"
"Scate-un216"	"1504601713"	"1504659230"
"Scate-un217"	"1504659231"	"1504716595"
"Scate-un218"	"1504716596"	"1504773772"
"Scate-un219"	"1504773773"	"1504830699"
"Scate-un220"	"1504830700"	"1504887591"
"Scate-un221"	"1504887592"	"1504944408"
"Scate-un222"	"1504944409"	"1505001057"
"Scate-un223"	"1505001058"	"1505057456"
"Scate-un224"	"1505057457"	"1505113713"
"Scate-un225"	"1505113714"	"1505169707"
"Scate-un226"	"1505169708"	"1505225454"
"Scate-un227"	"1505225455"	"1505280901"
"Scate-un228"	"1505280902"	"1505336186"
"Scate-un229"	"1505336187"	"1505391439"
"Scate-un230"	"1505391440"	"1505446268"
"Scate-un231"	"1505446269"	"1505500986"
"Scate-un232"	"1505500987"	"1505555696"
"Scate-un233"	"1505555697"	"1505610284"
"Scate-un234"	"1505610285"	"1505664743"
"Scate-un235"	"1505664744"	"1505718945"
"Scate-un236"	"1505718946"	"1505772875"
"Scate-un237"	"1505772876"	"1505826734"
"Scate-un238"	"1505826735"	"1505880540"
"Scate-un239"	"1505880541"	"1505934253"
"Scate-un240"	"1505934254"	"1505987654"
"Scate-un241"	"1505987655"	"1506040740"
"Scate-un242"	"1506040741"	"1506093750"
"Scate-un243"	"1506093751"	"1506146655"
"Scate-un244"	"1506146656"	"1506199547"
"Scate-un245"	"1506199548"	"1506251670"
"Scate-un246"	"1506251671"	"1506303708"
"Scate-un247"	"1506303709"	"1506355288"
"Scate-un248"	"1506355289"	"1506406778"
"Scate-un249"	"1506406779"	"1506458083"
"Scate-un250"	"1506458084"	"1506509151"
"Scate-un251"	"1506509152"	"1506559646"
"Scate-un252"	"1506559647"	"1506609890"
"Scate-un253"	"1506609891"	"1506659885"
"Scate-un254"	"1506659886"	"1506709670"
"Scate-un255"	"1506709671"	"1506759172"
"Scate-un256"	"1506759173"	"1506808641"
"Scate-un257"	"1506808642"	"1506858023"
"Scate-un258"	"1506858024"	"1506907390"
"Scate-un259"	"1506907391"	"1506956398"
"Scate-un260"	"1506956399"	"1507005385"
"Scate-un261"	"1507005386"	"1507054360"
"Scate-un262"	"1507054361"	"1507103241"
"Scate-un263"	"1507103242"	"1507151954"
"Scate-un264"	"1507151955"	"1507200418"
"Scate-un265"	"1507200419"	"1507248842"
"Scate-un266"	"1507248843"	"1507296782"
"Scate-un267"	"1507296783"	"1507344706"
"Scate-un268"	"1507344707"	"1507392571"
"Scate-un269"	"1507392572"	"1507439623"
"Scate-un270"	"1507439624"	"1507486644"
"Scate-un271"	"1507486645"	"1507533597"
"Scate-un272"	"1507533598"	"1507580283"
"Scate-un273"	"1507580284"	"1507626949"
"Scate-un274"	"1507626950"	"1507673573"
"Scate-un275"	"1507673574"	"1507720018"
"Scate-un276"	"1507720019"	"1507766100"
"Scate-un277"	"1507766101"	"1507811796"
"Scate-un278"	"1507811797"	"1507857346"
"Scate-un279"	"1507857347"	"1507902778"
"Scate-un280"	"1507902779"	"1507948207"
"Scate-un281"	"1507948208"	"1507993525"
"Scate-un282"	"1507993526"	"1508038693"
"Scate-un283"	"1508038694"	"1508083808"
"Scate-un284"	"1508083809"	"1508128527"
"Scate-un285"	"1508128528"	"1508173117"
"Scate-un286"	"1508173118"	"1508217615"
"Scate-un287"	"1508217616"	"1508261756"
"Scate-un288"	"1508261757"	"1508305800"
"Scate-un289"	"1508305801"	"1508349783"
"Scate-un290"	"1508349784"	"1508393532"
"Scate-un291"	"1508393533"	"1508437130"
"Scate-un292"	"1508437131"	"1508480666"
"Scate-un293"	"1508480667"	"1508524116"
"Scate-un294"	"1508524117"	"1508567468"
"Scate-un295"	"1508567469"	"1508610730"
"Scate-un296"	"1508610731"	"1508653877"
"Scate-un297"	"1508653878"	"1508696924"
"Scate-un298"	"1508696925"	"1508739696"
"Scate-un299"	"1508739697"	"1508782207"
"Scate-un300"	"1508782208"	"1508824302"
"Scate-un301"	"1508824303"	"1508866395"
"Scate-un302"	"1508866396"	"1508908303"
"Scate-un303"	"1508908304"	"1508950155"
"Scate-un304"	"1508950156"	"1508991960"
"Scate-un305"	"1508991961"	"1509033533"
"Scate-un306"	"1509033534"	"1509074054"
"Scate-un307"	"1509074055"	"1509114336"
"Scate-un308"	"1509114337"	"1509154611"
"Scate-un309"	"1509154612"	"1509194881"
"Scate-un310"	"1509194882"	"1509234667"
"Scate-un311"	"1509234668"	"1509274449"
"Scate-un312"	"1509274450"	"1509314101"
"Scate-un313"	"1509314102"	"1509353634"
"Scate-un314"	"1509353635"	"1509392777"
"Scate-un315"	"1509392778"	"1509431890"
"Scate-un316"	"1509431891"	"1509470505"
"Scate-un317"	"1509470506"	"1509508887"
"Scate-un318"	"1509508888"	"1509547190"
"Scate-un319"	"1509547191"	"1509585264"
"Scate-un320"	"1509585265"	"1509623240"
"Scate-un321"	"1509623241"	"1509661101"
"Scate-un322"	"1509661102"	"1509698916"
"Scate-un323"	"1509698917"	"1509736669"
"Scate-un324"	"1509736670"	"1509774370"
"Scate-un325"	"1509774371"	"1509811959"
"Scate-un326"	"1509811960"	"1509849278"
"Scate-un327"	"1509849279"	"1509886513"
"Scate-un328"	"1509886514"	"1509923588"
"Scate-un329"	"1509923589"	"1509960653"
"Scate-un330"	"1509960654"	"1509997566"
"Scate-un331"	"1509997567"	"1510034204"
"Scate-un332"	"1510034205"	"1510070650"
"Scate-un333"	"1510070651"	"1510106999"
"Scate-un334"	"1510107000"	"1510143273"
"Scate-un335"	"1510143274"	"1510179374"
"Scate-un336"	"1510179375"	"1510215266"
"Scate-un337"	"1510215267"	"1510251135"
"Scate-un338"	"1510251136"	"1510286988"
"Scate-un339"	"1510286989"	"1510322487"
"Scate-un340"	"1510322488"	"1510357721"
"Scate-un341"	"1510357722"	"1510392932"
"Scate-un342"	"1510392933"	"1510427883"
"Scate-un343"	"1510427884"	"1510462801"
"Scate-un344"	"1510462802"	"1510497671"
"Scate-un345"	"1510497672"	"1510532527"
"Scate-un346"	"1510532528"	"1510567228"
"Scate-un347"	"1510567229"	"1510601847"
"Scate-un348"	"1510601848"	"1510636324"
"Scate-un349"	"1510636325"	"1510670770"
"Scate-un350"	"1510670771"	"1510705211"
"Scate-un351"	"1510705212"	"1510739552"
"Scate-un352"	"1510739553"	"1510773869"
"Scate-un353"	"1510773870"	"1510808017"
"Scate-un354"	"1510808018"	"1510842036"
"Scate-un355"	"1510842037"	"1510875888"
"Scate-un356"	"1510875889"	"1510909491"
"Scate-un357"	"1510909492"	"1510943082"
"Scate-un358"	"1510943083"	"1510976659"
"Scate-un359"	"1510976660"	"1511009851"
"Scate-un360"	"1511009852"	"1511042887"
"Scate-un361"	"1511042888"	"1511075831"
"Scate-un362"	"1511075832"	"1511108277"
"Scate-un363"	"1511108278"	"1511140694"
"Scate-un364"	"1511140695"	"1511173050"
"Scate-un365"	"1511173051"	"1511205315"
"Scate-un366"	"1511205316"	"1511237331"
"Scate-un367"	"1511237332"	"1511269332"
"Scate-un368"	"1511269333"	"1511301274"
"Scate-un369"	"1511301275"	"1511333168"
"Scate-un370"	"1511333169"	"1511364873"
"Scate-un371"	"1511364874"	"1511396500"
"Scate-un372"	"1511396501"	"1511427642"
"Scate-un373"	"1511427643"	"1511458606"
"Scate-un374"	"1511458607"	"1511489289"
"Scate-un375"	"1511489290"	"1511519837"
"Scate-un376"	"1511519838"	"1511550374"
"Scate-un377"	"1511550375"	"1511580894"
"Scate-un378"	"1511580895"	"1511611406"
"Scate-un379"	"1511611407"	"1511641832"
"Scate-un380"	"1511641833"	"1511672181"
"Scate-un381"	"1511672182"	"1511702428"
"Scate-un382"	"1511702429"	"1511732622"
"Scate-un383"	"1511732623"	"1511762735"
"Scate-un384"	"1511762736"	"1511792768"
"Scate-un385"	"1511792769"	"1511822723"
"Scate-un386"	"1511822724"	"1511852639"
"Scate-un387"	"1511852640"	"1511882301"
"Scate-un388"	"1511882302"	"1511911882"
"Scate-un389"	"1511911883"	"1511941397"
"Scate-un390"	"1511941398"	"1511970909"
"Scate-un391"	"1511970910"	"1512000221"
"Scate-un392"	"1512000222"	"1512029517"
"Scate-un393"	"1512029518"	"1512058765"
"Scate-un394"	"1512058766"	"1512087836"
"Scate-un395"	"1512087837"	"1512116697"
"Scate-un396"	"1512116698"	"1512145296"
"Scate-un397"	"1512145297"	"1512173845"
"Scate-un398"	"1512173846"	"1512202252"
"Scate-un399"	"1512202253"	"1512230655"
"Scate-un400"	"1512230656"	"1512259030"
"Scate-un401"	"1512259031"	"1512287311"
"Scate-un402"	"1512287312"	"1512315507"
"Scate-un403"	"1512315508"	"1512343615"
"Scate-un404"	"1512343616"	"1512371643"
"Scate-un405"	"1512371644"	"1512399611"
"Scate-un406"	"1512399612"	"1512427528"
"Scate-un407"	"1512427529"	"1512455437"
"Scate-un408"	"1512455438"	"1512483266"
"Scate-un409"	"1512483267"	"1512510839"
"Scate-un410"	"1512510840"	"1512538389"
"Scate-un411"	"1512538390"	"1512565877"
"Scate-un412"	"1512565878"	"1512593318"
"Scate-un413"	"1512593319"	"1512620653"
"Scate-un414"	"1512620654"	"1512647888"
"Scate-un415"	"1512647889"	"1512675113"
"Scate-un416"	"1512675114"	"1512702275"
"Scate-un417"	"1512702276"	"1512729198"
"Scate-un418"	"1512729199"	"1512756115"
"Scate-un419"	"1512756116"	"1512782981"
"Scate-un420"	"1512782982"	"1512809660"
"Scate-un421"	"1512809661"	"1512836315"
"Scate-un422"	"1512836316"	"1512862934"
"Scate-un423"	"1512862935"	"1512889528"
"Scate-un424"	"1512889529"	"1512916110"
"Scate-un425"	"1512916111"	"1512942476"
"Scate-un426"	"1512942477"	"1512968835"
"Scate-un427"	"1512968836"	"1512995132"
"Scate-un428"	"1512995133"	"1513021313"
"Scate-un429"	"1513021314"	"1513047451"
"Scate-un430"	"1513047452"	"1513073499"
"Scate-un431"	"1513073500"	"1513099310"
"Scate-un432"	"1513099311"	"1513125059"
"Scate-un433"	"1513125060"	"1513150780"
"Scate-un434"	"1513150781"	"1513176458"
"Scate-un435"	"1513176459"	"1513202018"
"Scate-un436"	"1513202019"	"1513227389"
"Scate-un437"	"1513227390"	"1513252756"
"Scate-un438"	"1513252757"	"1513277994"
"Scate-un439"	"1513277995"	"1513303221"
"Scate-un440"	"1513303222"	"1513328397"
"Scate-un441"	"1513328398"	"1513353534"
"Scate-un442"	"1513353535"	"1513378606"
"Scate-un443"	"1513378607"	"1513403544"
"Scate-un444"	"1513403545"	"1513428209"
"Scate-un445"	"1513428210"	"1513452638"
"Scate-un446"	"1513452639"	"1513476866"
"Scate-un447"	"1513476867"	"1513501026"
"Scate-un448"	"1513501027"	"1513524992"
"Scate-un449"	"1513524993"	"1513548956"
"Scate-un450"	"1513548957"	"1513572903"
"Scate-un451"	"1513572904"	"1513596836"
"Scate-un452"	"1513596837"	"1513620768"
"Scate-un453"	"1513620769"	"1513644669"
"Scate-un454"	"1513644670"	"1513668393"
"Scate-un455"	"1513668394"	"1513691674"
"Scate-un456"	"1513691675"	"1513714894"
"Scate-un458"	"1513714895"	"1513737917"
"Scate-un457"	"1513737918"	"1513760940"
"Scate-un459"	"1513760941"	"1513783867"
"Scate-un460"	"1513783868"	"1513806758"
"Scate-un461"	"1513806759"	"1513829629"
"Scate-un462"	"1513829630"	"1513852497"
"Scate-un463"	"1513852498"	"1513875228"
"Scate-un464"	"1513875229"	"1513897848"
"Scate-un465"	"1513897849"	"1513920462"
"Scate-un466"	"1513920463"	"1513943003"
"Scate-un467"	"1513943004"	"1513965511"
"Scate-un468"	"1513965512"	"1513987973"
"Scate-un469"	"1513987974"	"1514010359"
"Scate-un470"	"1514010360"	"1514032731"
"Scate-un471"	"1514032732"	"1514055063"
"Scate-un472"	"1514055064"	"1514077333"
"Scate-un473"	"1514077334"	"1514099546"
"Scate-un474"	"1514099547"	"1514121732"
"Scate-un475"	"1514121733"	"1514143916"
"Scate-un476"	"1514143917"	"1514165999"
"Scate-un477"	"1514166000"	"1514188049"
"Scate-un478"	"1514188050"	"1514210098"
"Scate-un479"	"1514210099"	"1514232077"
"Scate-un480"	"1514232078"	"1514254020"
"Scate-un481"	"1514254021"	"1514275943"
"Scate-un482"	"1514275944"	"1514297753"
"Scate-un483"	"1514297754"	"1514319501"
"Scate-un484"	"1514319502"	"1514341193"
"Scate-un485"	"1514341194"	"1514362872"
"Scate-un486"	"1514362873"	"1514384541"
"Scate-un487"	"1514384542"	"1514406198"
"Scate-un488"	"1514406199"	"1514427491"
"Scate-un489"	"1514427492"	"1514448771"
"Scate-un490"	"1514448772"	"1514469644"
"Scate-un491"	"1514469645"	"1514490509"
"Scate-un492"	"1514490510"	"1514511325"
"Scate-un493"	"1514511326"	"1514532053"
"Scate-un494"	"1514532054"	"1514552772"
"Scate-un495"	"1514552773"	"1514573480"
"Scate-un496"	"1514573481"	"1514594098"
"Scate-un497"	"1514594099"	"1514614682"
"Scate-un498"	"1514614683"	"1514635224"
"Scate-un499"	"1514635225"	"1514655754"
"Scate-un500"	"1514655755"	"1514676268"
"Scate-un501"	"1514676269"	"1514696447"
"Scate-un502"	"1514696448"	"1514716586"
"Scate-un503"	"1514716587"	"1514736672"
"Scate-un504"	"1514736673"	"1514756604"
"Scate-un505"	"1514756605"	"1514776311"
"Scate-un506"	"1514776312"	"1514795917"
"Scate-un507"	"1514795918"	"1514815447"
"Scate-un508"	"1514815448"	"1514834883"
"Scate-un509"	"1514834884"	"1514854289"
"Scate-un510"	"1514854290"	"1514873542"
"Scate-un511"	"1514873543"	"1514892697"
"Scate-un512"	"1514892698"	"1514911609"
"Scate-un513"	"1514911610"	"1514930504"
"Scate-un514"	"1514930505"	"1514949377"
"Scate-un515"	"1514949378"	"1514968223"
"Scate-un516"	"1514968224"	"1514987066"
"Scate-un517"	"1514987067"	"1515005899"
"Scate-un518"	"1515005900"	"1515024715"
"Scate-un519"	"1515024716"	"1515043139"
"Scate-un520"	"1515043140"	"1515061523"
"Scate-un521"	"1515061524"	"1515079838"
"Scate-un522"	"1515079839"	"1515098091"
"Scate-un523"	"1515098092"	"1515116330"
"Scate-un524"	"1515116331"	"1515134536"
"Scate-un525"	"1515134537"	"1515152717"
"Scate-un526"	"1515152718"	"1515170840"
"Scate-un527"	"1515170841"	"1515188924"
"Scate-un528"	"1515188925"	"1515206966"
"Scate-un529"	"1515206967"	"1515225007"
"Scate-un530"	"1515225008"	"1515243040"
"Scate-un531"	"1515243041"	"1515261024"
"Scate-un532"	"1515261025"	"1515278960"
"Scate-un533"	"1515278961"	"1515296859"
"Scate-un534"	"1515296860"	"1515314691"
"Scate-un535"	"1515314692"	"1515332499"
"Scate-un536"	"1515332500"	"1515350189"
"Scate-un537"	"1515350190"	"1515367688"
"Scate-un538"	"1515367689"	"1515385027"
"Scate-un539"	"1515385028"	"1515402287"
"Scate-un540"	"1515402288"	"1515419535"
"Scate-un541"	"1515419536"	"1515436753"
"Scate-un542"	"1515436754"	"1515453870"
"Scate-un543"	"1515453871"	"1515470912"
"Scate-un544"	"1515470913"	"1515487826"
"Scate-un545"	"1515487827"	"1515504562"
"Scate-un546"	"1515504563"	"1515521295"
"Scate-un547"	"1515521296"	"1515538006"
"Scate-un548"	"1515538007"	"1515554692"
"Scate-un549"	"1515554693"	"1515571365"
"Scate-un550"	"1515571366"	"1515587961"
"Scate-un551"	"1515587962"	"1515604519"
"Scate-un552"	"1515604520"	"1515621041"
"Scate-un553"	"1515621042"	"1515637453"
"Scate-un554"	"1515637454"	"1515653843"
"Scate-un555"	"1515653844"	"1515670149"
"Scate-un556"	"1515670150"	"1515686393"
"Scate-un557"	"1515686394"	"1515702475"
"Scate-un558"	"1515702476"	"1515718536"
"Scate-un559"	"1515718537"	"1515734524"
"Scate-un560"	"1515734525"	"1515750506"
"Scate-un561"	"1515750507"	"1515766305"
"Scate-un562"	"1515766306"	"1515781961"
"Scate-un563"	"1515781962"	"1515797614"
"Scate-un564"	"1515797615"	"1515813081"
"Scate-un565"	"1515813082"	"1515828541"
"Scate-un566"	"1515828542"	"1515843921"
"Scate-un567"	"1515843922"	"1515859246"
"Scate-un568"	"1515859247"	"1515874549"
"Scate-un569"	"1515874550"	"1515889835"
"Scate-un570"	"1515889836"	"1515905093"
"Scate-un571"	"1515905094"	"1515920264"
"Scate-un572"	"1515920265"	"1515935296"
"Scate-un573"	"1515935297"	"1515950306"
"Scate-un574"	"1515950307"	"1515965292"
"Scate-un575"	"1515965293"	"1515980201"
"Scate-un576"	"1515980202"	"1515994990"
"Scate-un577"	"1515994991"	"1516009773"
"Scate-un578"	"1516009774"	"1516024536"
"Scate-un579"	"1516024537"	"1516039240"
"Scate-un580"	"1516039241"	"1516053831"
"Scate-un581"	"1516053832"	"1516068404"
"Scate-un582"	"1516068405"	"1516082858"
"Scate-un583"	"1516082859"	"1516097229"
"Scate-un584"	"1516097230"	"1516111597"
"Scate-un585"	"1516111598"	"1516125905"
"Scate-un586"	"1516125906"	"1516140203"
"Scate-un587"	"1516140204"	"1516154413"
"Scate-un588"	"1516154414"	"1516168577"
"Scate-un589"	"1516168578"	"1516182710"
"Scate-un590"	"1516182711"	"1516196825"
"Scate-un591"	"1516196826"	"1516210925"
"Scate-un592"	"1516210926"	"1516224948"
"Scate-un593"	"1516224949"	"1516238870"
"Scate-un594"	"1516238871"	"1516252759"
"Scate-un595"	"1516252760"	"1516266608"
"Scate-un596"	"1516266609"	"1516280455"
"Scate-un598"	"1516280456"	"1516294293"
"Scate-un597"	"1516294294"	"1516308131"
"Scate-un599"	"1516308132"	"1516321790"
"Scate-un600"	"1516321791"	"1516335440"
"Scate-un601"	"1516335441"	"1516348945"
"Scate-un602"	"1516348946"	"1516362440"
"Scate-un603"	"1516362441"	"1516375893"
"Scate-un604"	"1516375894"	"1516389267"
"Scate-un605"	"1516389268"	"1516402448"
"Scate-un606"	"1516402449"	"1516415620"
"Scate-un607"	"1516415621"	"1516428782"
"Scate-un608"	"1516428783"	"1516441905"
"Scate-un609"	"1516441906"	"1516455014"
"Scate-un610"	"1516455015"	"1516468060"
"Scate-un611"	"1516468061"	"1516481096"
"Scate-un612"	"1516481097"	"1516494113"
"Scate-un613"	"1516494114"	"1516507080"
"Scate-un614"	"1516507081"	"1516519950"
"Scate-un615"	"1516519951"	"1516532782"
"Scate-un616"	"1516532783"	"1516545607"
"Scate-un618"	"1516545608"	"1516558326"
"Scate-un617"	"1516558327"	"1516571045"
"Scate-un619"	"1516571046"	"1516583675"
"Scate-un620"	"1516583676"	"1516596244"
"Scate-un621"	"1516596245"	"1516608787"
"Scate-un622"	"1516608788"	"1516621262"
"Scate-un623"	"1516621263"	"1516633714"
"Scate-un624"	"1516633715"	"1516646039"
"Scate-un625"	"1516646040"	"1516658346"
"Scate-un626"	"1516658347"	"1516670575"
"Scate-un627"	"1516670576"	"1516682770"
"Scate-un628"	"1516682771"	"1516694877"
"Scate-un629"	"1516694878"	"1516706944"
"Scate-un630"	"1516706945"	"1516719000"
"Scate-un631"	"1516719001"	"1516730914"
"Scate-un632"	"1516730915"	"1516742630"
"Scate-un633"	"1516742631"	"1516754271"
"Scate-un634"	"1516754272"	"1516765809"
"Scate-un635"	"1516765810"	"1516777252"
"Scate-un636"	"1516777253"	"1516788621"
"Scate-un637"	"1516788622"	"1516799968"
"Scate-un638"	"1516799969"	"1516811282"
"Scate-un640"	"1516811283"	"1516822536"
"Scate-un639"	"1516822537"	"1516833790"
"Scate-un641"	"1516833791"	"1516844841"
"Scate-un642"	"1516844842"	"1516855820"
"Scate-un643"	"1516855821"	"1516866729"
"Scate-un644"	"1516866730"	"1516877625"
"Scate-un645"	"1516877626"	"1516888388"
"Scate-un646"	"1516888389"	"1516899021"
"Scate-un647"	"1516899022"	"1516909635"
"Scate-un648"	"1516909636"	"1516920239"
"Scate-un649"	"1516920240"	"1516930675"
"Scate-un650"	"1516930676"	"1516941053"
"Scate-un651"	"1516941054"	"1516951399"
"Scate-un652"	"1516951400"	"1516961690"
"Scate-un653"	"1516961691"	"1516971965"
"Scate-un654"	"1516971966"	"1516982207"
"Scate-un655"	"1516982208"	"1516992171"
"Scate-un656"	"1516992172"	"1517002029"
"Scate-un657"	"1517002030"	"1517011873"
"Scate-un658"	"1517011874"	"1517021713"
"Scate-un659"	"1517021714"	"1517031532"
"Scate-un660"	"1517031533"	"1517041332"
"Scate-un661"	"1517041333"	"1517051097"
"Scate-un662"	"1517051098"	"1517060758"
"Scate-un663"	"1517060759"	"1517070388"
"Scate-un664"	"1517070389"	"1517079979"
"Scate-un665"	"1517079980"	"1517089562"
"Scate-un666"	"1517089563"	"1517099117"
"Scate-un667"	"1517099118"	"1517108660"
"Scate-un668"	"1517108661"	"1517118166"
"Scate-un669"	"1517118167"	"1517127658"
"Scate-un670"	"1517127659"	"1517137122"
"Scate-un671"	"1517137123"	"1517146553"
"Scate-un672"	"1517146554"	"1517155956"
"Scate-un673"	"1517155957"	"1517165308"
"Scate-un674"	"1517165309"	"1517174603"
"Scate-un675"	"1517174604"	"1517183836"
"Scate-un676"	"1517183837"	"1517193043"
"Scate-un677"	"1517193044"	"1517202220"
"Scate-un678"	"1517202221"	"1517211370"
